KNN,SVM linear,SVM,LR,LDA,DT,RF,XGB
0.9004044185342144,0.8934068217737872,0.9209278651289025,0.8934660730841675,0.8932493976927641,0.9294238814276985,0.9842747050591729,0.9217471004622122
0.900119465265615,0.8942574918544326,0.9229894177367495,0.8935817416180156,0.8951149165088861,0.9287310841585038,0.9844958252435503,0.9269725946346257
0.899014138305463,0.894918840205857,0.9221420210264876,0.8955431895526412,0.8942256414410164,0.9312774451205283,0.9849467898765168,0.9231251516059368
0.9025836991123989,0.8929909431367952,0.9211173474563819,0.893999216790635,0.8917511907109136,0.9262324539435608,0.9850534223965929,0.9225700862372025
0.8947574389562005,0.8956468698988502,0.9229477141478345,0.8961247347400928,0.8946011957447243,0.9297820438847213,0.9844335131193048,0.9250340272283388
0.8999635621445683,0.8990684583046158,0.9226990182978003,0.8958396303201916,0.8954230384379933,0.9273815392056388,0.9844469372443128,0.9265238311424944
0.8975902161218264,0.8970981591092062,0.9225437261171775,0.8958938223099107,0.8949693043129873,0.9239806877496949,0.9833862393365914,0.9231093734054495
0.8987119008742389,0.892889556946476,0.923042199128407,0.892105822400623,0.8909891835145687,0.9269534211729844,0.9838892385088424,0.9239981640227839
0.8995660129718452,0.8950537186334205,0.9218203199117068,0.8946572354321869,0.895286267873139,0.9260645313391767,0.983604288797421,0.9254888631870977
0.9019764488439864,0.8944938967695115,0.922932031046252,0.8956620526281972,0.893742379229929,0.9272137226776731,0.985752207330302,0.9237438910999989
